abs_word_idx,timestamp_s,packet_num,frame_length,passed_valid
138679,0.017334875,7,250,1
138929,0.017366125,0,250,1
139179,0.017397375,1,250,1
139429,0.017428625,2,250,1
139679,0.017459875,3,250,1
139929,0.017491125,4,250,1
140179,0.017522375,5,250,1
140429,0.017553625,6,250,1
140679,0.017584875,7,250,1
140929,0.017616125,0,250,1
141179,0.017647375,1,250,1
141429,0.017678625,2,250,1
141679,0.017709875,3,250,1
141929,0.017741125,4,248,1
142177,0.017772125,5,250,1
142427,0.017803375,6,250,1
142677,0.017834625,7,250,1
142927,0.017865875,0,250,1
143177,0.017897125,1,250,1
143427,0.017928375,2,250,1
143677,0.017959625,3,250,1
143927,0.017990875,4,250,1
144177,0.018022125,5,250,1
144427,0.018053375,6,250,1
144677,0.018084625,7,250,1
144927,0.018115875,0,250,1
145177,0.018147125,1,250,1
145427,0.018178375,2,250,1
145677,0.018209625,3,250,1
145927,0.018240875,4,250,1
146177,0.018272125,5,250,1
146427,0.018303375,6,250,1
146677,0.018334625,7,250,1
146927,0.018365875,0,248,1
147175,0.018396875,1,250,1
147425,0.018428125,2,250,1
147675,0.018459375,3,250,1
147925,0.018490625,4,250,1
148175,0.018521875,5,250,1
148425,0.018553125,6,250,1
148675,0.018584375,7,250,1
148925,0.018615625,0,250,1
149175,0.018646875,1,250,1
149425,0.018678125,2,250,1
149675,0.018709375,3,250,1
149925,0.018740625,4,250,1
150175,0.018771875,5,250,1
150425,0.018803125,6,250,1
150675,0.018834375,7,250,1
150925,0.018865625,0,250,1
151175,0.018896875,1,250,1
151425,0.018928125,2,250,1
151675,0.018959375,3,248,1
151923,0.018990375,4,250,1
152173,0.019021625,5,250,1
152423,0.019052875,6,250,1
152673,0.019084125,7,250,1
152923,0.019115375,0,250,1
153173,0.019146625,1,250,1
153423,0.019177875,2,250,1
153673,0.019209125,3,250,1
153923,0.019240375,4,250,1
154173,0.019271625,5,250,1
154423,0.019302875,6,250,1
154673,0.019334125,7,250,1
154923,0.019365375,0,250,1
155173,0.019396625,1,250,1
155423,0.019427875,2,250,1
155673,0.019459125,3,250,1
155923,0.019490375,4,250,1
